ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
1/28/1914,KUZA MITI AGROFORESTRY CARBON PROJECT IN KENYA,One Carbon World Ltd.,AFOLU,ARR,VM0047,Under development,Kenya,84889.00,Africa,,9/19/2023,9/18/2122
12/30/1913,OYU - Powering Kenyan SMEs with Clean Energy,OYU Green Private Limited,Renewable Energy,,AMS-I.F.,Under validation,Kenya,20201.00,Africa,,8/1/2022,7/31/2029
9/2/1913,Entooma Sidai: A Maasai Mara Rangeland Restoration and Conservation Project,Multiple Proponents,AFOLU,ALM,VM0032,Under development,Kenya,689731.00,Africa,,1/1/2024,12/31/2063
5/29/1913,OYU - Reforesting Kenya for a better tomorrow,OYU Green Private Limited,AFOLU,ARR,AR-ACM0003,Under validation,Kenya,184724.00,Africa,,3/1/2021,2/28/2041
3/21/1913,Solaxy Cookstoves for Healthier Homes and a Greener Kenya,SOLAXY GROUP,Cookstove Projects,,VMR0006,Under development,Kenya,723220.00,Africa,,10/1/2023,9/30/2033
10/2/1912,One Mara Carbon Project,Maasai Mara Wildlife Conservancies Association,AFOLU,ALM,VM0032,Under development,Kenya,551636.00,Africa,,10/15/2020,10/14/2050
9/19/1912,"TIST Program in Kenya, VCS-011",Clean Air Action Corporation,AFOLU,ARR,AR-ACM0003,Under validation,Kenya,770502.00,Africa,,1/1/2004,12/31/2063
5/20/1912,Electrify Africa,ARC Ride Limited,Transport,,VM0038,Under development,Kenya,70299.00,Africa,,1/1/2023,12/31/2032
4/7/1912,Restore Africa: Restoring trees and livelihoods in Kenya,Global Evergreening Alliance,AFOLU,ARR,Methodology Under Development,Under development,Kenya,44788.00,Africa,,10/1/2022,9/30/2052
3/21/1912,Kenya Organic Waste Diversion and Bioconversion Project,"Native, a Public Benefit Corporation",Waste handling and disposal,,ACM0022,Under validation,Kenya,5493.00,Africa,,1/1/2023,12/31/2029
1/25/1912,Lake Victoria Watershed Agroforestry Carbon Project,Trees for the Future Inc.,AFOLU,ALM,VM0042,Under validation,Kenya,596812.00,Africa,,9/1/2020,8/31/2054
11/3/1911,Makueni Agroforestry Carbon Project,Multiple Proponents,AFOLU,ALM,VM0017,Under validation,Kenya,155383.00,Africa,,10/1/2023,9/30/2043
8/22/1911,Distribution of fuel efficient improved cookstoves in Kenya and Uganda,Green Wave Africa Pty Ltd,Cookstove Projects,,VMR0006,Under validation,Kenya,1839530.00,Africa,,8/1/2023,7/31/2030
7/24/1911,D.Light's Improved Cooking Project In Kenya,"d.light design, Ltd",Cookstove Projects,,VMR0006,Registered,Kenya,38422.00,Africa,3/30/2024,9/8/2022,9/7/2029
2/10/1911,Improved Cookstove Distribution in Kenya by EKI Phase 01,EKI Energy Services Limited,Cookstove Projects,,VMR0006,Registered,Kenya,76131.00,Africa,4/23/2024,2/2/2023,2/1/2030
2/11/1911,Improved Cookstove Distribution in Kenya by EKI Phase 0 2,EKI Energy Services Limited,Cookstove Projects,,VMR0006,Under validation,Kenya,4862.00,Africa,,2/1/2023,1/31/2030
2/4/1911,D.Light's Improved Cooking Project In Africa,"d.light design, Ltd",Cookstove Projects,,VMR0006,Under validation,Kenya,1115331.00,Africa,,10/1/2022,9/30/2029
12/28/1910,Sanergy Composting Group Project,"Circular Impact, Inc.",Waste handling and disposal,,ACM0022,Registration and verification approval requested,Kenya,33658.00,Africa,,6/1/2022,5/31/2029
8/19/1910,Installation of high efficiency cookstoves in Sub Saharan Africa by BURN,ECOA Climate Capital,Cookstove Projects,,VMR0006,Registration requested,Kenya,22702023.00,Africa,,5/19/2022,5/18/2029
5/1/1910,Boomitra Carbon Farming in East Africa through Soil Enrichment,Boomitra Inc,AFOLU,ALM,VM0042,Registration requested,Kenya,1249417.00,Africa,,10/1/2019,9/30/2039
4/24/1910,MicroEnergy Credits – Microfinance for Solar Lamps in Kenya,MicroEnergy Credits Corp,Renewable Energy,,AMS-III.AR,Registered,Kenya,57457.00,Africa,9/11/2023,4/13/2021,4/12/2028
1/16/1910,Western Kenya Soil Carbon Project,Soil-Carbon Certification Services,AFOLU,ALM,VM0017,Registration and verification approval requested,Kenya,160992.00,Africa,,10/2/2019,10/1/2039
1/7/1910,Papariko - Restoration of Degraded Mangrove Areas in Kenya,Vlinder Austria GmbH,AFOLU,ARR,AR-AM0014,Registration requested,Kenya,30389.00,Africa,,5/26/2022,5/25/2052
2/21/1909,Boomitra Grassland Restoration in East Africa Through Soil Enrichment,Boomitra Inc,AFOLU,ALM,VM0042,Registration requested,Kenya,707193.00,Africa,,1/4/2019,1/3/2039
2/2/1909,Hongera Reforestation Project (Mt Kenya and Aberdares),Multiple Proponents,AFOLU,ARR,AR-ACM0003,Registration requested,Kenya,7.00,Africa,,1/1/2023,12/31/2062
1/2/1909,Empowering Women Through Clean Cooking,co2balance,Cookstove Projects,,AMS-II.G.,Under validation,Kenya,254045.00,Africa,,1/3/2022,1/2/2032
10/10/1908,Installation of high efficiency wood burning cookstoves in Kenya 2,C-Quest Capital Stoves Asia Limited,Cookstove Projects,,VMR0006,Registered,Kenya,2075549.00,Africa,6/14/2023,5/1/2022,4/30/2032
10/1/1908,Kenya Jiko Kisasa Improved Cookstove Program I,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Cookstove Projects,,VMR0006,Registered,Kenya,231347.00,Africa,2/27/2024,6/21/2022,6/20/2032
3/7/1908,Solar Water Pump Project in Kenya,SunCulture Kenya Ltd,Renewable Energy,,AMS-I.B.,Registered,Kenya,334824.00,Africa,12/6/2022,8/1/2020,7/31/2027
10/5/1907,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0001,MicroEnergy Credits Corp,Renewable Energy,,AMS-II.G.; AMS-III.AR,Crediting Period Renewal Request Denied,Kenya,138000.00,Africa,2/27/2023,,
10/6/1907,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0002,MicroEnergy Credits Corp,Renewable Energy,,AMS-II.G.; AMS-III.AR,Verification approval requested,Kenya,52022.00,Africa,2/23/2023,10/1/2018,9/30/2025
10/7/1907,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0003,MicroEnergy Credits Corp,Renewable Energy,,AMS-II.G.; AMS-III.AR,Verification approval requested,Kenya,90914.00,Africa,2/27/2023,11/11/2019,11/10/2026
3/7/1907,Komaza Smallholder Farmer Forestry Kenya,Komaza Group Inc.,AFOLU,ARR,AR-AMS0007,Registered,Kenya,286630.00,Africa,11/8/2023,5/1/2017,4/30/2037
6/20/1906,CONSERVATION OF MIOMBOS IN TARU  KENYA REDD+,Swiss carbon Value Ltd.,AFOLU,REDD,VM0009,Withdrawn,Kenya,16225.00,Africa,,7/1/2016,6/30/2046
6/6/1906,Installation of high efficiency wood burning cookstoves in Kenya,C-Quest Capital SGS Stoves Private Limited,Cookstove Projects,,VMR0006,On Hold - see notification letter,Kenya,1500000.00,Africa,5/13/2022,10/6/2020,10/5/2030
5/26/1906,"TIST Program in Kenya, VCS-CCB 010",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0007,Registered,Kenya,93619.00,Africa,9/23/2021,2/1/2015,1/31/2075
5/30/1902,OLKARIA III PHASE 2 GEOTHERMAL EXPANSION PROJECT IN KENYA,JPMorgan Ventures Energy Corportaion,Renewable Energy,,ACM0002,Late to verify,Kenya,244798.00,Africa,8/16/2012,,
4/27/1905,Livelihoods Mount Elgon Project,Livelihoods Fund SICAV SIF,AFOLU,ALM,VM0017,Registered,Kenya,53142.00,Africa,4/19/2024,3/2/2016,3/1/2036
4/1/1905,Paradigm Kenya Clean Cookstoves Project,"Blue Source, LLC",Cookstove Projects,,AMS-II.G.,Registered,Kenya,49416.00,Africa,8/23/2019,4/26/2017,4/25/2027
5/9/1903,Kenya Agricultural Carbon Project,Vi Agroforestry Programme,AFOLU,ALM,VM0017,Registered,Kenya,99004.00,Africa,4/6/2020,7/1/2009,6/30/2029
7/19/1904,Improved Jikos Project in Kenya,ClimateCare Limited,Cookstove Projects,,AMS-II.G.,Under validation,Kenya,40064.00,Africa,,,
6/17/1902,"TIST Program in Kenya, VCS 006",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,233275.00,Africa,10/1/2012,1/1/2004,12/31/2033
1/6/1902,"TIST Program in Kenya, VCS 005",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,86694.00,Africa,6/4/2020,1/1/2004,12/31/2033
7/15/1901,The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,Wildlife Works Carbon LLC,AFOLU,REDD,VM0009,Registered,Kenya,251432.00,Africa,6/4/2020,1/1/2005,12/31/2034
9/8/1903,KSAIL Bagasse Power Project,Viability Incentives,Renewable Energy,,ACM0006,Registered,Kenya,45118.00,Africa,10/20/2016,1/1/2015,12/31/2024
11/8/1903,Chyulu Hills REDD+ Project,Chyulu Hills Conservation Trust,AFOLU,REDD,VM0009,Registered,Kenya,1100943.00,Africa,4/6/2020,9/19/2013,9/18/2043
8/16/1901,"TIST Program in Kenya, VCS 001",Clean Air Action Corporation,AFOLU,ARR,AR-ACM0001,Registered,Kenya,14701.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/17/1901,"TIST Program in Kenya, VCS 002",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Registered,Kenya,13663.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/18/1901,"TIST Program in Kenya, VCS 003",Clean Air Action Corporation,AFOLU,ARR,AR-ACM0001,Registered,Kenya,14482.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/19/1901,"TIST Program in Kenya, VCS 004",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Registered,Kenya,13790.00,Africa,4/12/2011,1/1/2004,12/31/2033
9/22/1902,"TIST Program in Kenya, VCS 009",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,88163.00,Africa,3/13/2013,1/1/2004,12/31/2033
9/3/1901,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Wildlife Works Carbon LLC,AFOLU,REDD,VM0009,Registered,Kenya,1461479.00,Africa,6/4/2020,1/1/2010,12/31/2039
1/7/1904,Northern Kenya Grassland Carbon Project,Northern Rangelands Trust,AFOLU,ALM,VM0032,Registered,Kenya,1797493.00,Africa,5/5/2020,1/1/2013,12/31/2042
7/29/1902,Efficient Cook Stove Programme: Kenya CPA No. 1,co2balance Ltd,Energy distribution,,AMS-II.G.,Late to verify,Kenya,46214.00,Africa,12/19/2012,1/31/2018,1/30/2025
12/17/1902,Efficient Cook Stove Programme: Kenya CPA No. 2 Mathira East District co2balance UK Ltd,co2balance UK,Cookstove Projects,,AMS-II.G.,Registered,Kenya,27497.00,Africa,4/6/2020,3/3/2011,3/2/2039
